Brand,CPU,GPU,RAM Type,RAM Size (GB),Storage (GB),Screen Type,Refresh Rate (Hz),Uniqueness,Upgradeable,Price (Rupiah)
ASUS,I7-1255,-,DDR4,16GB,512GB,LED,60,[],1,9399000
ASUS,RYZEN 7-7730,-,DDR4,16GB,512GB,IPS,60,[],1,9439000
ASUS,RYZEN 7-7730,-,DDR4,16GB,512GB,IPS,60,[],1,9439000
DELL,I7-8550,-,DDR4,8GB,,LED,60,[],1,9450000
TECNO,I9-13900,-,DDR4,16GB,512GB,LED,60,['fingerprint'],1,9479000
ASUS,RYZEN 5-5500,GEFORCE MX450,DDR4,8GB,256GB,IPS,60,[],1,9499000
LENOVO,I5-1135,GEFORCE MX350,DDR5,8GB,512GB,IPS,60,['fingerprint'],1,9499000
TECNO,I9-13900,-,DDR4,16GB,512GB,LED,60,['fingerprint'],1,9499000
HP,RYZEN 5-5500,-,DDR4,8GB,512GB,IPS,60,[],1,9499000
TECNO,I9-13900,-,DDR4,16GB,512GB,LED,60,['fingerprint'],1,9499000
HP,RYZEN 5-3500,-,DDR4,8GB,512GB,IPS,60,[],1,9499000
LENOVO,I7-13620,-,DDR5,16GB,512GB,IPS,60,[],0,9499000
ASUS,,-,DDR4,8GB,256GB,LED,60,[],1,9500000
ACER,RYZEN 5-3500,-,DDR4,8GB,512GB,IPS,60,[],1,9500000
LENOVO,,-,DDR4,8GB,256GB,LED,60,['flex'],1,9500000
INFINIX,I5-1334,-,DDR4,16GB,512GB,OLED,120,[],1,9549000
HP,I5-1334,GEFORCE MX570,DDR4,8GB,512GB,IPS,60,[],1,9569000
ASUS,I7-1255,-,DDR4,16GB,512GB,IPS,60,[],1,9574000
HP,I3-100,-,DDR4,8GB,512GB,IPS,60,['fingerprint'],1,9620000
HP,I5-1334,GEFORCE MX570,DDR4,8GB,512GB,IPS,60,[],1,9669000
ASUS,I7-1255,-,DDR4,8GB,512GB,IPS,60,[],1,9679000
ASUS,I7-1255,-,DDR4,16GB,512GB,IPS,60,[],1,9699000
LENOVO,I5-1135,-,DDR4,8GB,512GB,IPS,60,['fingerprint'],1,9699000
AXIOO,I7-12650,RTX 2050,DDR4,16GB,512GB,LCD,144,[],1,9699000
ASUS,I5-8250,GEFORCE MX130,DDR4,,,LED,60,['fingerprint'],1,9725000
HP,I7-1255,-,DDR4,16GB,512GB,IPS,60,[],1,9749000
HP,I7-1255,-,DDR4,16GB,512GB,IPS,60,[],1,9749000
HP,I7-1255,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],1,9749000
HP,I7-1255,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],1,9749000
LENOVO,I7-150,-,DDR4,16GB,256GB,IPS,60,[],1,9774000
LENOVO,I7-150,-,DDR5,16GB,1024GB,IPS,60,[],0,9799000
LENOVO,I5-12450,RTX 2050,DDR5,12GB,512GB,IPS,60,[],1,9839000
LENOVO,RYZEN 7-7730,-,DDR4,16GB,1024GB,IPS,60,['flex'],0,9874000
ASUS,I7-1255,-,DDR4,16GB,256GB,LED,60,[],1,9874000
ACER,,-,DDR4,8GB,,LED,60,[],1,9900000
LENOVO,I5-12450,RTX3050,DDR4,12GB,512GB,LED,60,[],1,9900000
HP,I5-13420,RTX3050,DDR4,16GB,512GB,IPS,144,[],1,9949000
DELL,I5-1334,-,DDR5,16GB,512GB,LED,60,['fingerprint'],1,9999000
ASUS,I7-1255,-,DDR4,16GB,512GB,LED,60,[],1,9999000
LENOVO,I3-100,-,DDR5,8GB,512GB,IPS,60,['fingerprint'],0,9999000
ASUS,I5-1235,-,DDR4,16GB,256GB,IPS,60,[],1,9999000
ASUS,I5-8265,-,DDR4,8GB,,LED,60,[],1,10000000
HP,,-,DDR4,,,LED,60,[],1,10000000
HP,,-,DDR4,16GB,1000GB,LED,60,[],1,10000000
ACER,I5-10210,-,DDR4,,1024GB,IPS,60,[],1,10000000
ASUS,,-,DDR5,16GB,,IPS,60,[],1,10019000
LENOVO,I7-1260,-,DDR5,16GB,1024GB,IPS,90,[],1,10050000
HP,I7-1255,-,DDR4,8GB,512GB,IPS,60,[],1,10050000
