No,Brand,CPU,GPU,RAM Type,RAM Size (GB),Storage (GB),Screen Type,Refresh Rate (Hz),Uniqueness,Upgradeable,Price (Rupiah)
221,HP,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,1,9389000
222,AXIOO,Intel Core i7-12650HX,RTX 2050,DDR4,16,512.0,LED,144,0,1,9389000
223,LENOVO,AMD Ryzen 7 5700U,,DDR4,16,512.0,LED,60,2,0,9399000
224,ASUS,Intel Core i7-1255U,,DDR4,16,512.0,LED,60,0,1,9399000
225,ASUS,AMD Ryzen 7 7730U,,DDR4,16,512.0,LED,60,0,1,9439000
226,ASUS,AMD Ryzen 7 7730U,,DDR4,16,512.0,LED,60,0,1,9439000
227,DELL,Intel Core i7-8550U,,DDR4,8,512.0,LED,60,0,1,9450000
228,TECNO,Intel Core i9-13900H,,DDR4,16,512.0,LED,60,1,1,9479000
229,ASUS,AMD Ryzen 5 5500U,,DDR4,8,256.0,LED,60,0,1,9499000
230,LENOVO,Intel Core i5-1135G7,,DDR5,8,512.0,LED,60,1,1,9499000
231,TECNO,Intel Core i9-13900H,,DDR4,16,512.0,LED,60,1,1,9499000
232,HP,AMD Ryzen 5 5500U,,DDR4,8,512.0,LED,60,0,1,9499000
233,TECNO,Intel Core i9-13900H,,DDR4,16,512.0,LED,60,1,1,9499000
234,HP,AMD Ryzen 5 3500,,DDR4,8,512.0,LED,60,0,1,9499000
235,LENOVO,Intel Core i7-13620H,,DDR5,16,512.0,LED,60,0,0,9499000
236,ACER,AMD Ryzen 5 3500,,DDR4,8,512.0,LED,60,0,1,9500000
237,INFINIX,Intel Core i5-1334U,,DDR4,16,512.0,OLED,120,0,1,9549000
238,HP,Intel Core i5-1334U,,DDR4,8,512.0,LED,60,0,1,9569000
239,ASUS,Intel Core i7-1255U,,DDR4,16,512.0,LED,60,0,1,9574000
240,HP,Intel Core i3-10300,,DDR4,8,512.0,LED,60,1,1,9620000
241,HP,Intel Core i5-1334U,,DDR4,8,512.0,LED,60,0,1,9669000
242,ASUS,Intel Core i7-1255U,,DDR4,8,512.0,LED,60,0,1,9679000
243,ASUS,Intel Core i7-1255U,,DDR4,16,512.0,LED,60,0,1,9699000
244,LENOVO,Intel Core i5-1135G7,,DDR4,8,512.0,LED,60,1,1,9699000
245,AXIOO,Intel Core i7-12650HX,RTX 2050,DDR4,16,512.0,LED,144,0,1,9699000
246,ASUS,Intel Core i5-8250U,,DDR4,8,512.0,LED,60,1,1,9725000
247,HP,Intel Core i7-1255U,,DDR4,16,512.0,LED,60,0,1,9749000
248,HP,Intel Core i7-1255U,,DDR4,16,512.0,LED,60,0,1,9749000
249,HP,Intel Core i7-1255U,,DDR4,16,512.0,LED,60,1,1,9749000
